Time|Position_1|Position_2|Position_3|Position_4|Position_5|Position_6|Velocity_1|Velocity_2|Velocity_3|Velocity_4|Velocity_5|Velocity_6|Acceleration_1|Acceleration_2|Acceleration_3|Acceleration_4|Acceleration_5|Acceleration_6
0 sec|-2.7198047510245|-0.98174770424681|-1.03265314076331|0|0|0|0|0|0|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.0293 sec|-2.7198047510245|-0.981537351203354|-1.03260973457974|0|0|0|0|0.0143620353808311|0.00296359460239372|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.0586 sec|-2.7198047510245|-0.980906292072984|-1.03247951602903|0|0|0|0|0.0287240707616622|0.00592718920478743|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.0879 sec|-2.7198047510245|-0.979854526855701|-1.03226248511118|0|0|0|0|0.0430861061424932|0.00889078380718115|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.1172 sec|-2.7198047510245|-0.978382055551504|-1.03195864182619|0|0|0|0|0.0574481415233243|0.0118543784095749|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.1465 sec|-2.7198047510245|-0.976488878160395|-1.03156798617405|0|0|0|0|0.0718101769041554|0.0148179730119686|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.1758 sec|-2.7198047510245|-0.974174994682372|-1.03109051815478|0|0|0|0|0.0861722122849865|0.0177815676143623|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.2051 sec|-2.7198047510245|-0.971440405117436|-1.03052623776836|0|0|0|0|0.100534247665818|0.020745162216756|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.2343 sec|-2.7198047510245|-0.968285109465587|-1.02987514501481|0|0|0|0|0.114896283046649|0.0237087568191497|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.2636 sec|-2.7198047510245|-0.964709107726824|-1.02913723989411|0|0|0|0|0.12925831842748|0.0266723514215434|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.2929 sec|-2.7198047510245|-0.960712399901149|-1.02831252240627|0|0|0|0|0.143620353808311|0.0296359460239372|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.3222 sec|-2.7198047510245|-0.95629498598856|-1.02740099255129|0|0|0|0|0.157982389189142|0.0325995406263309|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.3515 sec|-2.7198047510245|-0.951456865989058|-1.02640265032917|0|0|0|0|0.172344424569973|0.0355631352287246|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.3808 sec|-2.7198047510245|-0.946198039902642|-1.02531749573991|0|0|0|0|0.186706459950804|0.0385267298311183|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.4101 sec|-2.7198047510245|-0.940518507729313|-1.02414552878351|0|0|0|0|0.201068495331635|0.041490324433512|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.4394 sec|-2.7198047510245|-0.934418269469072|-1.02288674945997|0|0|0|0|0.215430530712466|0.0444539190359057|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.4687 sec|-2.7198047510245|-0.927897325121916|-1.02154115776929|0|0|0|0|0.229792566093297|0.0474175136382995|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.498 sec|-2.7198047510245|-0.920955674687848|-1.02010875371146|0|0|0|0|0.244154601474128|0.0503811082406932|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.5273 sec|-2.7198047510245|-0.913593318166867|-1.0185895372865|0|0|0|0|0.258516636854959|0.0533447028430869|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.5566 sec|-2.7198047510245|-0.905810255558972|-1.01698350849439|0|0|0|0|0.27287867223579|0.0563082974454806|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.5859 sec|-2.7198047510245|-0.897606486864164|-1.01529066733515|0|0|0|0|0.287240707616622|0.0592718920478743|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.6152 sec|-2.7198047510245|-0.888982012082442|-1.01351101380876|0|0|0|0|0.301602742997453|0.062235486650268|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.6444 sec|-2.7198047510245|-0.879936831213808|-1.01164454791523|0|0|0|0|0.315964778378284|0.0651990812526617|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.6737 sec|-2.7198047510245|-0.87047094425826|-1.00969126965456|0|0|0|0|0.330326813759115|0.0681626758550555|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.703 sec|-2.7198047510245|-0.860584351215799|-1.00765117902675|0|0|0|0|0.344688849139946|0.0711262704574492|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.7323 sec|-2.7198047510245|-0.850277052086425|-1.0055242760318|0|0|0|0|0.359050884520777|0.0740898650598429|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.7616 sec|-2.7198047510245|-0.839549046870137|-1.00331056066971|0|0|0|0|0.373412919901608|0.0770534596622366|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.7909 sec|-2.7198047510245|-0.828400335566937|-1.00101003294048|0|0|0|0|0.387774955282439|0.0800170542646303|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.8202 sec|-2.7198047510245|-0.816830918176823|-0.998622692844108|0|0|0|0|0.40213699066327|0.082980648867024|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.8495 sec|-2.7198047510245|-0.804840794699796|-0.996148540380594|0|0|0|0|0.416499026044101|0.0859442434694178|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.8788 sec|-2.7198047510245|-0.792429965135855|-0.99358757554994|0|0|0|0|0.430861061424932|0.0889078380718115|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.9081 sec|-2.7198047510245|-0.779598429485002|-0.990939798352145|0|0|0|0|0.445223096805763|0.0918714326742052|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.9374 sec|-2.7198047510245|-0.766346187747235|-0.988205208787209|0|0|0|0|0.459585132186594|0.0948350272765989|0|0|0|0|0.490290173345612|0.101170988150682|0|0|0
0.9667 sec|-2.7198047510245|-0.752673239922555|-0.985383806855132|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
0.996 sec|-2.7198047510245|-0.738789939054418|-0.982518998739485|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.0253 sec|-2.7198047510245|-0.724906638186281|-0.979654190623837|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.0545 sec|-2.7198047510245|-0.711023337318144|-0.97678938250819|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.0838 sec|-2.7198047510245|-0.697140036450008|-0.973924574392543|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.1131 sec|-2.7198047510245|-0.683256735581871|-0.971059766276896|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.1424 sec|-2.7198047510245|-0.669373434713734|-0.968194958161248|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.1717 sec|-2.7198047510245|-0.655490133845598|-0.965330150045601|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.201 sec|-2.7198047510245|-0.641606832977461|-0.962465341929954|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.2303 sec|-2.7198047510245|-0.627723532109324|-0.959600533814307|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.2596 sec|-2.7198047510245|-0.613840231241188|-0.956735725698659|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.2889 sec|-2.7198047510245|-0.599956930373051|-0.953870917583012|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.3182 sec|-2.7198047510245|-0.586073629504914|-0.951006109467365|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.3475 sec|-2.7198047510245|-0.572190328636777|-0.948141301351718|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.3768 sec|-2.7198047510245|-0.558307027768641|-0.94527649323607|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.4061 sec|-2.7198047510245|-0.544423726900504|-0.942411685120423|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.4354 sec|-2.7198047510245|-0.530540426032367|-0.939546877004776|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.4646 sec|-2.7198047510245|-0.516657125164231|-0.936682068889129|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.4939 sec|-2.7198047510245|-0.502773824296094|-0.933817260773481|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.5232 sec|-2.7198047510245|-0.488890523427957|-0.930952452657834|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.5525 sec|-2.7198047510245|-0.47500722255982|-0.928087644542187|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.5818 sec|-2.7198047510245|-0.461123921691684|-0.925222836426539|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.6111 sec|-2.7198047510245|-0.447240620823547|-0.922358028310892|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.6404 sec|-2.7198047510245|-0.43335731995541|-0.919493220195245|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
1.6697 sec|-2.7198047510245|-0.419474019087274|-0.916628412079598|0|0|0|0|0.473947167567426|0.0977986218789926|0|0|0|0|0|0|0|0|0
