Time|Position_1|Position_2|Position_3|Position_4|Position_5|Position_6|Velocity_1|Velocity_2|Velocity_3|Velocity_4|Velocity_5|Velocity_6|Acceleration_1|Acceleration_2|Acceleration_3|Acceleration_4|Acceleration_5|Acceleration_6
0 sec|0|0|0|0|0|0|0|0|0|0|0|0|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
0.02 sec|8.92475375694684e-05|8.92475375694684e-05|8.92475375694684e-05|8.92475375694684e-05|8.92475375694684e-05|8.92475375694684e-05|0.0088801299881621|0.0088801299881621|0.0088801299881621|0.0088801299881621|0.0088801299881621|0.0088801299881621|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
0.04 sec|0.000356990150277873|0.000356990150277873|0.000356990150277873|0.000356990150277873|0.000356990150277873|0.000356990150277873|0.0177602599763242|0.0177602599763242|0.0177602599763242|0.0177602599763242|0.0177602599763242|0.0177602599763242|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
0.06 sec|0.000803227838125215|0.000803227838125215|0.000803227838125215|0.000803227838125215|0.000803227838125215|0.000803227838125215|0.0266403899644863|0.0266403899644863|0.0266403899644863|0.0266403899644863|0.0266403899644863|0.0266403899644863|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
0.08 sec|0.00142796060111149|0.00142796060111149|0.00142796060111149|0.00142796060111149|0.00142796060111149|0.00142796060111149|0.0355205199526484|0.0355205199526484|0.0355205199526484|0.0355205199526484|0.0355205199526484|0.0355205199526484|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
0.1 sec|0.00223118843923671|0.00223118843923671|0.00223118843923671|0.00223118843923671|0.00223118843923671|0.00223118843923671|0.0444006499408105|0.0444006499408105|0.0444006499408105|0.0444006499408105|0.0444006499408105|0.0444006499408105|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
0.12 sec|0.00321291135250086|0.00321291135250086|0.00321291135250086|0.00321291135250086|0.00321291135250086|0.00321291135250086|0.0532807799289726|0.0532807799289726|0.0532807799289726|0.0532807799289726|0.0532807799289726|0.0532807799289726|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
0.14 sec|0.00437312934090395|0.00437312934090395|0.00437312934090395|0.00437312934090395|0.00437312934090395|0.00437312934090395|0.0621609099171347|0.0621609099171347|0.0621609099171347|0.0621609099171347|0.0621609099171347|0.0621609099171347|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
0.16 sec|0.00571184240444598|0.00571184240444598|0.00571184240444598|0.00571184240444598|0.00571184240444598|0.00571184240444598|0.0710410399052968|0.0710410399052968|0.0710410399052968|0.0710410399052968|0.0710410399052968|0.0710410399052968|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
0.18 sec|0.00722905054312694|0.00722905054312694|0.00722905054312694|0.00722905054312694|0.00722905054312694|0.00722905054312694|0.0799211698934589|0.0799211698934589|0.0799211698934589|0.0799211698934589|0.0799211698934589|0.0799211698934589|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
0.2 sec|0.00892475375694684|0.00892475375694684|0.00892475375694684|0.00892475375694684|0.00892475375694684|0.00892475375694684|0.088801299881621|0.088801299881621|0.088801299881621|0.088801299881621|0.088801299881621|0.088801299881621|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
0.22 sec|0.0107989520459057|0.0107989520459057|0.0107989520459057|0.0107989520459057|0.0107989520459057|0.0107989520459057|0.0976814298697831|0.0976814298697831|0.0976814298697831|0.0976814298697831|0.0976814298697831|0.0976814298697831|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
0.24 sec|0.0128516454100034|0.0128516454100034|0.0128516454100034|0.0128516454100034|0.0128516454100034|0.0128516454100034|0.106561559857945|0.106561559857945|0.106561559857945|0.106561559857945|0.106561559857945|0.106561559857945|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
0.26 sec|0.0150828338492402|0.0150828338492402|0.0150828338492402|0.0150828338492402|0.0150828338492402|0.0150828338492402|0.115441689846107|0.115441689846107|0.115441689846107|0.115441689846107|0.115441689846107|0.115441689846107|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065|0.441786466911065
